# lang=ro
cat	floor (storey)
gregarism	gregariousness
minutaj	timing
minutaj	minuteness
ordonator	organizer
pachebot	paquebot
relaș	respite
reperaj	spotting
retrovizor	rear-view mirror
servantă	handmaid
șancru	chancre
șanteză	songstress
șarpantă	woodwork
vesanie	psychosis, vesania
amestecător	mixer
autoamăgire	self-deception
autoanaliză	self-analysis
autoaprovizionat	self-supplied
autobasculantă	dump truck
autobetonieră	concrete mixer truck
autocaravană	motorhome
autodistrugere	self-destruction
autogunoieră	garbage truck
automacara	crane
autopornire	self-starting
autoservire	self-service
autotransportor	autotransporter
autoșasiu	chassis
anticentru	anticenter
anticonformism	nonconformism
antiimperialism	anti-imperialism
antiumanism	antihumanism
folclorism	folklorism
grozăvie	terror
gustător	taster
haiducie	outlawry
haimanalâc	tramping
harponier	harpooner
hiclenie	slyness
hotărnicie	determination
hoțomancă	female thief
hoțomănie	thievery
iaurgerie	yogurt shop
idioțenie	idiocy
intravilan	residential zoning
iscodenie	spying
jordie	stick
macedoromâncă	Aromanian woman
mahalagism	tittle-tattle
mahmurie	the state of being hungover
mâhniciune	grief
măcinătură	grinding
ontolog	ontologist
orășenism	urbanism
ovreică	Jewish woman
oțetărie	vinegar shop
paludolog	malariologist
papagaliță	female parrot
profesionalitate	professionalism
păgânie	paganism
înecăciune	drowning
îngropat	buried
îngrășătorie	fattening
înhămat	hitched
întorcător	turner
Buna Vestire	Annunciation
contextualitate	contextuality
contractibilitate	contractility
destrămătură	disintegration
dobitocie	stupidity
electrocăldură	electric heat
electroporțelan	electric porcelain
electrosecuritate	electrical safety
elementaritate	elementality
feciorenie	virginity
fetie	virginity
globalitate	globality
meșterie	craft
microbofobie	germophobe
microhidrocentrală	micro hydropower plant
moftangiu	trifler
muzeotehnică	museum technology
muție	muteness
mântuială	salvation
mântuială	de mântuială: superficial, sloppy.
mântuială	Lucru de mîntuĭală; o treabă de mântuială: sloppy work.
mântuință	salvation
mânuitor	handler
măturat	sweeping
măturătură	brooming
nestabilitate	instability
operaționalitate	operationality
oralitate	orality
picturalitate	pictoriality
primovaccinare	primary vaccination
prosteală	stupidity
simțiciune	sensitivity
spectaculozitate	spectacularity
stupizenie	stupidity
ușurime	facility
flecărie	chatter
franzelărie	bakery
frățietate	brotherhood
fumărit	chimney tax (in medieval Romania)
liber-schimbist	free trader
mârâitură	growl
împuțiciune	stinkiness
bulău	prison
ciufuleală	ruffle
cogestiune	comanagement
compotieră	compote bowl
descântat	enchanted
drăcovenie	devilry
drăcovenie	gizmo
drăgălășie	sweetness
ex-campion	former champion
ex-ministru	former minister
faianțator	tile layer
greblat	raking
icnet	groan
iernător	wintering
ilicitate	illegality
imediatețe	immediacy
inimoșie	kindness
nesfârșire	endless
neșansă	ill luck
orășenime	townsfolk
îmbrobodeală	embellishment
împachetat	packed
împăcăciune	reconciliation
împărătiță	Empress
alunea	hazelnut
anatomopatolog	anatomopathologist
balneolog	balneologist
cancerogeneză	carcinogenesis
chefușor	small party
cherestegerie	lumber trade
citolog	cytologist
complotaș	plotter
confrăție	brotherhood
conlucrător	co-worker
culturolog	culturologist
distanțier	spacer
dumicat	mouthful
fiziopatolog	pathophysiologist
giuvaiergerie	jewelry shop
hidrobiolog	hydrobiologist
iconolog	iconologist
imunopatolog	immunopathologist
alunecuș	slipperiness
boliște	epidemic
bunețe	goodness
compactitate	compactness
contrainformație	counterintelligence
cuminție	goodness
cărpănoșie	stinginess
căruntețe	grayness
decorativitate	decorativeness
dârzenie	stubbornness
lejeritate	lightness
lăudăroșie	boastfulness
micșorime	smallness
monofizitism	monophysitism
mărunțime	smallness
nebuneală	madness
neteziș	smoothness
năucie	dizziness
orbeală	blindness
pasivist	passivist
periodism	journalism
prospătură	a fresh thing
psihopatolog	psychopathologist
puturoșie	stinkiness
păcătoșenie	sinfulness
păcătoșie	sinfulness
reumatolog	rheumatologist
răcoreală	coolness
samavolnicie	despotism
schimnicie	asceticism
sfiiciune	shyness
simbolistică	symbolism
somnoroșie	drowsiness
supușime	obedience
uitucenie	forgetfulness
vitregie	wickedness
auzitor	listener
bobotează	, calqued on a Slavic form such as , .
bobotează	< + botează.
bobotează	an expressive formation from + .
buciumaș	trumpeter
bujoraș	peony
cimpoiaș	bagpiper
cristalizator	crystallizer
cărător	carrier
pepeniște	melon field
păhărnicel	cupbearer
păhărnicie	cupbearing
păienjeniș	cobweb
spiniș	thorny
ticăloșenie	villainy
încăierătură	brawl
încărcat	loaded
încărcat	uploaded
decupator	cutter
dedițel	pasqueflower
țuicar	țuică distiller
degazator	degasser
depolarizator	depolarizer
destupător	uncorker
frigăruică	meat on skewer
frățâne	brother
hașurator	hatcher
jecmăneală	plunder
luptaș	fighter
lărgitor	widener
materializator	materializer
mestecător	chewer
măturar	broom maker
povarnagiu	distiller
povestaș	storyteller
prețuitor	valuer
segmentator	segmenter
stabilizant	stabilizer
străchinar	bowl maker
sucitor	rolling pin
sucitor	twister
tezaurizator	hoarder
trifoiște	clover field
tunelist	tunneler
tălhărășug	robbery
vulcanizator	vulcanizer
șofrănel	safflower
țambalist	dulcimerist
telejurnal	TV news
telespicher	newscaster
telesport	televised sport
teleșcoală	TV school
voroavă	speech
crăpat	cracking
mangleală	theft
manichiureză	manicurist
meșteșugărie	craft
microturbină	microturbine
plăpumărie	quilt shop
prim-plan	foreground
protopopie	archdiocese
puturoșenie	stink
puturoșenie	laziness
pânzărie	linen
regățean	person from the Old Kingdom of Romania (Wallachia and Moldavia)
repartizator	distributor
repartizor	distributor
retezătură	cutting
ridicător	lifter
românime	Romanianness
ronțăială	crunching
răcar	person who fishes or sells crayfish
șchiopenie	lameness
șchiopătură	limping
șerbie	serfdom
cumințenie	goodness
cumsecădenie	decency
sărățea	salty cracker
zevzecie	stupidity
savonieră	soap dish
blagoslovenie	blessing
Blagoveștenie	Annunciation
agudă	mulberry
beznă	pitch darkness
beznă	abyss, Tartarus, pit of Hell
vâslă	oar, paddle
trâmbiță	trumpet
patriarh	patriarch
spovedanie	confession
vecernie	Vespers
verigă	link, ring
vraci	doctor
vraci	witch doctor, quack
slovă	letter
stareț	abbot
troscot	knotweed
psaltire	psalter
jertfelnic	altar
cristelniță	baptismal font
arhanghel	archangel
arhidiacon	archdeacon
paraclis	oratory
antihrist	antichrist
amvon	pulpit
cădelniță	censer
ceaslov	prayer book
molitvelnic	prayer book
octoih	Octoechos
prohod	requiem
maslu	religious service for a sick man
liturghie	liturgy
pomelnic	list of people mentioned by the priest during a sermon
heruvim	cherub
prescură	wafer
bogdaproste	thank you
vlădică	bishop
țârcovnic	cantor
utrenie	matins
patrafir	epitrachelion, Eastern Orthodox stole
Ignat	male given name, a counterpart of Ignatius
smerenie	humility
mitropolie	metropolis, archbishopric
proroc	prophet
potir	chalice
pravoslavie	Orthodoxy
vozglas	in Orthodox liturgy, a part of a prayer that is uttered aloud and clearly
vozglașenie	ecphonesis
pocaianie	repentance
strană	church stall
polunoșniță	midnight prayer
stihoavnă	sticheron
năsălie	a litter on which the coffin is transported during a funeral
milostenie	charity
metoc	small monastery, subordinated to another
mironosiță	woman bringing fragrant ointment to Jesus
mironosiță	a person pretending to be modest and pious
iudă	traitor
iudă	hypocritical person
condac	hymn in honour of a saint
chilie	hermit's room
Ispas	Ascension
iudeu	Judean
Iordan	Epiphany
cazanie	homily, a sermon explaining the gospel
propovedanie	sermon
satană	devil, Satan
satană	evil man
schimnic	hermit
stihiră	sticheron, hymn sang in the morning
pocrovăț	piece of cloth for covering liturgical objects
litie	Orthodox Christian sermon for agricultural abundance
trapeză	mess hall in a monastery
sfită	priest's garment
pogrebanie	funeral
smirnă	myrrh
smirnă	quietly, without moving
irod	Christmas play
irod	clown
diaconic	place in the altar where the liturgical vestments are kept
chivot	box on the altar in which the communion wafer is kept
ceteț	reader
agneț	piece of the communion wafer from which the host is cut
agarean	pagan
camilafcă	monk's hat
chinovie	monastery
lavră	monastery
nabederniță	part of the priest's garment
stolnic	in medieval Wallachia and Moldavia, the steward of the cooks and gardeners
letopiseț	chronicle
pravilă	law, regulation
pravilă	canon, church law
jalbă	complaint, written reclamation
dijmă	feudal rent (tenth part of production)
paieric	sign replacing the soft sign or hard sign in places where they have no phonetical value
azbuche	Cyrillic alphabet
pristav	announcer, herald
prapur	battle flag
prapur	religious flag
pecete	seal, stamp
protopop	archpriest
izvod	register
izvod	text, document
poslușnic	lay brother, servant
colivă	koliva
chelar	steward in charge of the cellars and supplies
acatist	akathist
milosârdie	mercy, compassion
pavecerniță	short service held in monasteries after Vespers
Stretenie	Candlemas
podobie	a kind of religious song
potcap	a monk's hat
topliță	hot spring
pridvor	veranda, colonnade
mită	bribe
dâră	streak, trace, trail
covaci	blacksmith
răspântie	crossroads
siliște	abandoned village, place where a village existed.
gunoiște	garbage dump, garbage heap
pârș	dormouse
pârtie	path through the snow
pârtie	path through a forest or a cultivated field
pârtie	slope for winter sports
robotă	corvee
robotă	drudgery
zăvor	lock, latch
snoavă	story, anecdote
ibovnic	lover
blagoslovi	to bless
blodogori	to speak a foreign tongue that cannot be understood
pravoslavnic	Orthodox
rutier	related to road transport
rutieră	minibus, marshrutka
bătută	schnitzel
costeliv	skinny, bony
galeș	having a wistful look in the eyes
glumeț	funny person, witty
răsplăti	to reward
năduși	to sweat
vajnic	vigorous
samavolnic	high-handed
șașlâc	shashlik kebab
ucaz	ukase, decree
zacuscă	snack, finger food, hors d'oeuvre
zacuscă	a vegetable spread made typically out of roasted eggplant, sauteed onions, tomato paste and roasted peppers
babușcă	roach ()
cloșcă	broody hen
copcă	hole in the ice
râmnic	fishpond
râșniță	grinder
miriște	stubble field
caracudă	crucian carp ()
sobornic	synodic
propovădui	to teach, to spread ideas or religious doctrines
slavoslovi	to praise God
proslăvi	to extol, to praise
prohodi	to conduct the burial ceremony
prohodi	to bury
hirotonisi	to ordain
podobi	to decorate
tălmăci	to translate
tabacheră	cigarette box
tabacheră	snuffbox
subrutină	subroutine
acronic	achronic
mocirlă	mud, swamp, puddle
plătică	carp bream ()
plătică	honey locust ()
bivoliță	female buffalo
cârmaci	helmsman, steerer
zglobiu	lively, fidgety, fretful
trudnic	tiresome
netrebnic	wretch, good-for-nothing
nevolnic	feeble, weak
nevolnic	helpless
silnic	by force, coercive
volnic	self-sufficient, autonomous, independent
treaz	awake
treaz	sober
potrivnic	adverse, contrary
potrivnic	adversary
strașnic	extraordinary, excellent
strașnic	terrible, frightening
dârz	daring, bold
dârz	stubborn
năprasnic	sudden
năprasnic	violent
pestriț	multicolored, variegated
tocmi	to haggle
osândi	to sentence
sădi	to plant
sfetnic	adviser, counselor
zămisli	to conceive , to give birth
zămisli	to create
liur	poor quality wine
ciolan	(animal) bone, usually large, with or without meat on it
ciolan	human bone
mantie	cloak, cape, robe
mantie	mantle
răzvrăti	to revolt, to rebel
oleacă	a little
inorog	unicorn
bâzdâganie	critter
bâzdâganie	gizmo
iesle	manger
coșciug	coffin
vreasc	brushwood
zăvoi	forest by the banks of a river
scovergă	fried pie (sometimes with cheese filling)
sfădi	to argue
sfădi	to scold
cârpi	to patch up, to mend
prigoni	to persecute
răzbi	to break through
teasc	press
ștevie	patience dock ()
vrajbă	animosity, hate
pripas	feral animal
pripas	abandoned child
pripas	foreigner
mâzgă	slime
lobodă	mountain spinach ()
luncă	floodplain, water-meadow
năpastă	misfortune
jupan	medieval title in Wallachia and Moldavia
datină	custom
lighioană	wild beast
lighioană	brute
spăsenie	humility
hârleț	spade (garden tool used for digging)
tartor	devils' chief
tartor	evil man
cozoroc	bill of a cap, brim, peak
Oblucița	Medieval name of the town of Isaccea, Romania
pribeag	wandering
pribeag	wanderer
gloabă	jade, weak horse
pacoste	vicissitude
pacoste	person causing problems
ogradă	orchard
ocnă	mine, especially salt mine
ocnă	prison, especially one in which prisoners were forced to mine salt
prâslea	youngest child
podgorie	vineyard
posmag	stale bread
puzderie	in great numbers
pe jos	by foot, on foot
pe jos	on the ground, on the floor
obște	society
obște	community of monks
obște	autonomous agricultural communities which had common ownership of land
vâlvă	agitation
vâlvă	reputation
stârv	carcass
stârv	corpse
zloată	sleet
ispravă	deed, action
colac	kalach
cosor	pruning knife
duhni	to stink
sfii	to be shy, to be intimidated
năpusti	to rush
năpusti	to abandon
căina	to wail, to lament
cârmi	to steer, to change course
ispăși	to suffer consequences
ispăși	to serve imprisonment
milui	to give alms
milui	to show mercy
strădui	to try one's best
poticni	to stumble, to flounder
popri	to stop
popri	to sequester
ponosi	to become worn
pocăi	to repent
grădi	kindergarten
strivi	to crush, to squash
primeni	to change clothes, to dress
primeni	to renew
iscodi	to spy
iscodi	to question someone
mirui	to anoint
pecetlui	to seal
jelui	to wail
năpădi	to invade
năpădi	to overrun
vadră	unit of measurement for liquids (around 10 liters)
vadră	tub, cask
slujnică	maid-of-all-work
șopot	murmur
șopot	whisper
slatină	salty spring
slatină	salt marsh
toporâște	axe or scythe handle
jitniță	granary
jupaniță	wife of a
obcină	ridge joining two peaks
pajiște	pasture
pândar	watchman
zăbrea	window bar, railing
sfadă	squabble, quarrel
scârnă	faeces
scârnav	filthy
scârnav	vile, obscene
coropișniță	mole cricket
comarnic	shepherd's hut
raclă	coffin
raclă	big coffer
padină	plateau, tableland
mânătarcă	porcini ()
ciușcă	hot pepper
clăbuc	lather, foam
braniște	forest reserve
bolniță	hospital
belciug	loop, hook
belciug	nose ring
teleagă	small cart
strună	chord, string
stavilă	sluice, dam
stavilă	barrier
proțap	shaft
proțap	the rod used for holding the meat at a rotisserie
pocinog	trouble, misfortune
plocon	tribute paid by Wallachia and Moldavia to the Ottoman Empire, recognizing Ottoman suzerainty
pleavă	chaff
pleavă	worthless thing
odraslă	child, descendant
odraslă	sprout, stolon
loază	cunning man, good-for-nothing
coșniță	small basket
presădi	to plant
